hasCode	code	url
Yes	freeCodeCamp-_-freeCodeCamp.txt	https://github.com/freeCodeCamp/freeCodeCamp/blob/main/CODE_OF_CONDUCT.md
Yes	vuejs-_-vue.txt	https://github.com/vuejs/vue/blob/dev/.github/CODE_OF_CONDUCT.md
Yes	facebook-_-react.txt	https://github.com/facebook/react/blob/master/CODE_OF_CONDUCT.md
Yes	twbs-_-bootstrap.txt	https://github.com/twbs/bootstrap/blob/main/CODE_OF_CONDUCT.md
Yes	airbnb-_-javascript.txt	https://github.com/airbnb/.github/blob/main/CODE_OF_CONDUCT.md
Yes	trekhleb-_-javascript-algorithms.txt	https://github.com/trekhleb/javascript-algorithms/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	facebook-_-react-native.txt	https://github.com/facebook/react-native/blob/master/CODE_OF_CONDUCT.md
Yes	facebook-_-create-react-app.txt	https://github.com/facebook/create-react-app/blob/master/CODE_OF_CONDUCT.md
Yes	axios-_-axios.txt	https://github.com/axios/axios/blob/master/CODE_OF_CONDUCT.md
Yes	nodejs-_-node.txt	https://github.com/nodejs/node/blob/master/CODE_OF_CONDUCT.md
Yes	30-seconds-_-30-seconds-of-code.txt	https://github.com/30-seconds/30-seconds-of-code/blob/master/CODE_OF_CONDUCT.md
Yes	mrdoob-_-three.js.txt	https://github.com/mrdoob/three.js/blob/dev/.github/CODE_OF_CONDUCT.md
Yes	mui-org-_-material-ui.txt	https://github.com/mui-org/material-ui/blob/next/CODE_OF_CONDUCT.md
Yes	vercel-_-next.js.txt	https://github.com/vercel/next.js/blob/canary/CODE_OF_CONDUCT.md
Yes	FortAwesome-_-Font-Awesome.txt	https://github.com/FortAwesome/Font-Awesome/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	angular-_-angular.js.txt	https://github.com/angular/angular.js/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	webpack-_-webpack.txt	https://github.com/webpack/webpack/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	atom-_-atom.txt	https://github.com/atom/atom/blob/master/CODE_OF_CONDUCT.md
Yes	jquery-_-jquery.txt	https://github.com/jquery/jquery/blob/main/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
Yes	expressjs-_-express.txt	https://github.com/expressjs/express/blob/master/Code-Of-Conduct.md
Yes	yangshun-_-tech-interview-handbook.txt	https://github.com/yangshun/tech-interview-handbook/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	gatsbyjs-_-gatsby.txt	https://github.com/gatsbyjs/gatsby/blob/master/CODE_OF_CONDUCT.md
Yes	h5bp-_-html5-boilerplate.txt	https://github.com/h5bp/html5-boilerplate/blob/master/.github/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
Yes	meteor-_-meteor.txt	https://github.com/meteor/meteor/blob/devel/CODE_OF_CONDUCT.md
Yes	jaywcjlove-_-awesome-mac.txt	https://github.com/jaywcjlove/awesome-mac/blob/master/CODE-OF-CONDUCT.md
No	null	null
No	null	null
Yes	tailwindlabs-_-tailwindcss.txt	https://github.com/tailwindlabs/tailwindcss/blob/master/.github/CODE_OF_CONDUCT.md
Yes	yarnpkg-_-yarn.txt	https://github.com/yarnpkg/yarn/blob/master/CODE_OF_CONDUCT.md
Yes	serverless-_-serverless.txt	https://github.com/serverless/serverless/blob/master/CODE_OF_CONDUCT.md
Yes	prettier-_-prettier.txt	https://github.com/prettier/prettier/blob/main/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	babel-_-babel.txt	https://github.com/babel/babel/blob/main/CODE_OF_CONDUCT.md
Yes	ColorlibHQ-_-AdminLTE.txt	https://github.com/ColorlibHQ/AdminLTE/blob/master/CODE_OF_CONDUCT.md
Yes	Dogfalo-_-materialize.txt	https://github.com/Dogfalo/materialize/blob/v1-dev/CODE_OF_CONDUCT.md
No	null	null
Yes	parcel-bundler-_-parcel.txt	https://github.com/parcel-bundler/parcel/blob/v2/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	strapi-_-strapi.txt	https://github.com/strapi/strapi/blob/master/CODE_OF_CONDUCT.md
Yes	nuxt-_-nuxt.js.txt	https://github.com/nuxt/nuxt.js/blob/dev/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	mozilla-_-pdf.js.txt	https://github.com/mozilla/pdf.js/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	algorithm-visualizer-_-algorithm-visualizer.txt	https://github.com/algorithm-visualizer/algorithm-visualizer/blob/master/CODE_OF_CONDUCT.md
Yes	adobe-_-brackets.txt	https://github.com/adobe/brackets/blob/master/CODE_OF_CONDUCT.md
Yes	hexojs-_-hexo.txt	https://github.com/hexojs/hexo/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
Yes	iptv-org-_-iptv.txt	https://github.com/iptv-org/iptv/blob/master/.github/CODE_OF_CONDUCT.md
No	null	null
Yes	videojs-_-video.js.txt	https://github.com/videojs/video.js/blob/main/CODE_OF_CONDUCT.md
Yes	koajs-_-koa.txt	https://github.com/koajs/koa/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	immutable-js-_-immutable-js.txt	https://github.com/immutable-js/immutable-js/blob/master/.github/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
Yes	cypress-io-_-cypress.txt	https://github.com/cypress-io/cypress/blob/develop/CODE_OF_CONDUCT.md
Yes	RocketChat-_-Rocket.Chat.txt	https://github.com/RocketChat/Rocket.Chat/blob/develop/CODE_OF_CONDUCT.md
Yes	quilljs-_-quill.txt	https://github.com/quilljs/quill/blob/develop/CODE_OF_CONDUCT.md
No	null	null
Yes	photonstorm-_-phaser.txt	https://github.com/photonstorm/phaser/blob/master/.github/CODE_OF_CONDUCT.md
Yes	preactjs-_-preact.txt	https://github.com/preactjs/preact/blob/master/.github/CODE_OF_CONDUCT.md
Yes	yangshun-_-front-end-interview-handbook.txt	https://github.com/yangshun/front-end-interview-handbook/blob/master/CODE_OF_CONDUCT.md
Yes	lerna-_-lerna.txt	https://github.com/lerna/lerna/blob/main/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	react-boilerplate-_-react-boilerplate.txt	https://github.com/react-boilerplate/react-boilerplate/blob/master/CODE_OF_CONDUCT.md
Yes	tastejs-_-todomvc.txt	https://github.com/tastejs/todomvc/blob/master/code-of-conduct.md
Yes	carbon-app-_-carbon.txt	https://github.com/carbon-app/carbon/blob/main/.github/CODE_OF_CONDUCT.md
Yes	nolimits4web-_-swiper.txt	https://github.com/nolimits4web/swiper/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
Yes	jashkenas-_-underscore.txt	https://github.com/jashkenas/underscore/blob/master/CODE_OF_CONDUCT.md
Yes	agalwood-_-Motrix.txt	https://github.com/agalwood/Motrix/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
